test,replications,elapsed,relative,user.self,sys.self,x_length
conventional,10,0.656000000000006,218.667,0.650999999999982,0.00400000000000045,1000
runstats,10,0.0029999999999859,1,0.00300000000001432,0,1000
conventional,10,7.24400000000003,301.833,7.21200000000002,0.0190000000000001,10000
runstats,10,0.0240000000000009,1,0.0209999999999866,0.00300000000000011,10000
conventional,10,80.634,214.452,78.911,0.431,100000
runstats,10,0.376000000000033,1,0.322999999999979,0.0520000000000005,100000
conventional,10,801.396,135.074,795.69,3.396,1000000
runstats,10,5.93299999999999,1,5.63300000000004,0.273,1000000
